0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	9	11.5	14.5	18	22.5	28.5	36	45	57	71.5	90	90	90	90	90	45	22.5	0
14	18	23	29	36	45	57	72	90	114	143	180	180	180	180	180	90	45	0
73	82	92	103	116	130	146	164	164	184	207	232	260	260	260	260	130	65	0
108	118	130	140	157	168	184	209	229	252	277	305	305	305	305	305	152	76	0
129	140	153	167	182	198	215	237	258	282	307	335	335	335	335	335	168	84	0
141	154	167	182	198	215	234	254	277	301	327	356	356	356	356	356	178	89	0
152	165	179	198	209	231	249	266	288	311	337	365	365	365	365	365	183	91	0
160	173	187	208	218	242	260	275	297	321	346	374	374	374	374	374	187	94	0
166	179	193	216	224	249	268	281	303	327	352	380	380	380	380	380	190	95	0
184	197	210	225	240	257	275	294	314	336	359	384	384	384	384	384	192	96	0
229	260	309	328	356	377	390	393	394	394	398	399	399	399	399	399	399	223	0
229	260	309	328	356	377	390	393	394	394	398	399	399	399	399	399	399	223	0
