0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 0.0F, 
7.0F, 9.0F, 12.0F, 14.0F, 18.0F, 22.0F, 28.0F, 36.0F, 45.0F, 57.0F, 72.0F, 90.0F, 90.0F, 90.0F, 90.0F, 90.0F, 45.0F, 22.0F, 0.0F, 
14.0F, 18.0F, 23.0F, 29.0F, 36.0F, 45.0F, 57.0F, 72.0F, 90.0F, 114.0F, 143.0F, 180.0F, 180.0F, 180.0F, 180.0F, 180.0F, 90.0F, 45.0F, 0.0F, 
73.0F, 82.0F, 92.0F, 103.0F, 116.0F, 130.0F, 146.0F, 164.0F, 164.0F, 184.0F, 207.0F, 232.0F, 260.0F, 260.0F, 260.0F, 260.0F, 130.0F, 65.0F, 0.0F, 
108.0F, 118.0F, 130.0F, 140.0F, 157.0F, 168.0F, 184.0F, 209.0F, 229.0F, 252.0F, 277.0F, 305.0F, 305.0F, 305.0F, 305.0F, 305.0F, 152.0F, 76.0F, 0.0F, 
129.0F, 140.0F, 153.0F, 167.0F, 182.0F, 198.0F, 215.0F, 237.0F, 258.0F, 282.0F, 307.0F, 335.0F, 335.0F, 335.0F, 335.0F, 335.0F, 168.0F, 84.0F, 0.0F, 
141.0F, 154.0F, 167.0F, 182.0F, 198.0F, 215.0F, 234.0F, 254.0F, 277.0F, 301.0F, 327.0F, 356.0F, 356.0F, 356.0F, 356.0F, 356.0F, 178.0F, 89.0F, 0.0F, 
152.0F, 165.0F, 179.0F, 198.0F, 209.0F, 231.0F, 249.0F, 266.0F, 288.0F, 311.0F, 337.0F, 365.0F, 365.0F, 365.0F, 365.0F, 365.0F, 183.0F, 91.0F, 0.0F, 
160.0F, 173.0F, 187.0F, 208.0F, 218.0F, 242.0F, 260.0F, 275.0F, 297.0F, 321.0F, 346.0F, 374.0F, 374.0F, 374.0F, 374.0F, 374.0F, 187.0F, 94.0F, 0.0F, 
166.0F, 179.0F, 193.0F, 216.0F, 224.0F, 249.0F, 268.0F, 281.0F, 303.0F, 327.0F, 352.0F, 380.0F, 380.0F, 380.0F, 380.0F, 380.0F, 190.0F, 95.0F, 0.0F, 
184.0F, 197.0F, 210.0F, 225.0F, 240.0F, 257.0F, 275.0F, 294.0F, 314.0F, 336.0F, 359.0F, 384.0F, 384.0F, 384.0F, 384.0F, 384.0F, 192.0F, 96.0F, 0.0F, 
229.0F, 260.0F, 309.0F, 328.0F, 356.0F, 377.0F, 390.0F, 393.0F, 394.0F, 394.0F, 398.0F, 399.0F, 399.0F, 399.0F, 399.0F, 399.0F, 399.0F, 223.0F, 0.0F, 
229.0F, 260.0F, 309.0F, 328.0F, 356.0F, 377.0F, 390.0F, 393.0F, 394.0F, 394.0F, 398.0F, 399.0F, 399.0F, 399.0F, 399.0F, 399.0F, 399.0F, 223.0F, 0.0F, 
